block_number,transaction_hash,receiver,amount
34744,0x9efa85ca1e66591170237f4c8ab5238f99d9fe0172183230933cb2d243ac5ab5,0x919c4f50fda3d2323e6389a116476fe28672abb5,137.5
34744,0x43b9a32557f787fbd2ce45a71bd2ab26d64369295b42ce9e02270a83ee47c8ed,0x20018f1a5ef2ce2f6aae6837c06b33c7066233c3,55.0
34765,0x8e171db0abd4971fcbc2ddbd1af220a560b4bdb4128d29bdecc379a1c5a5f753,0xdb5c4078ec50ad4cdc47f4597a377528b1d7bcdb,110.0
35217,0xd58fdeaab25e656d2f124a0b2638ca442c2573241c00167ae15ecbcf99e397c9,0x2875a0db1bb25fd12ef93ad687450cb3b0ae9440,55.0
35217,0xb0fe6c58f1049cd2394596de82846e6d50184d50961d9475a8d53ae8d3ea14f8,0x24897a16c70da3e438083545efb795af49ab1f53,440.0
35217,0xc7d722267730046c0f47b8ac8ab3f4429489350b51d299062ebf22598fa07c28,0x9fa75efdc48a85d2936074250a1b24497bdd589b,55.0
35217,0x9fa8eb73c545ca21a066f0c42494f8d9573465e9fd054ac6d41aac7df9250ee6,0x36f89c963e30bf82b214056986d3493e89320712,27.5
35217,0x4092e6180acda4b2242a65ab7efd8ea4881160a7aefd670bea300073b8870f04,0x3d680e8b9375936b036e994294540f8451675f79,110.0
35255,0x1c174a51f4e9a6872bcf68dbed0c006e4ab87897a1a25f588ee05acab427561a,0x32212f2507c6d027167eb98dd0e539cf823a4bf7,110.0
35255,0x9bb980cfcf053e0ab45da2482322b01a6976efe4b445deec033a74f57a99c76d,0x0f8d1999000fb5093008344b2d73407c9fb71337,110.0
35255,0x37c1ad3b9ae96a5e8d1a47df3d61c1e009287044b28c305489ce1661e02b5d15,0xd789e4011baa72cb6cb9086a4f5793a146817398,440.0
35255,0x67491de07f14067dc9529b510357881880acfeef6ba79fc1db521735375d3281,0x504d95ac180f69aac17ca4dcb8350489f44f8cfe,110.0
35255,0xcc40cb94d8d0762800f2ebd2bb29c039aa4b1176e3ffc9d0f7ac3769b3a1aa7a,0x89828442a7f9c7d5c7f3c0ed2efe803bbbb0517f,55.0
35298,0x8cfe0559a6b0abd54f569de1a91090ca961c708217369b4f3868b6b1ff574318,0xcb6617e3a0daa049adb179162ced28e4247cffff,82.5
35298,0x8c591e0538330e69faf6572e8c86b7d3df9831cda400023e62bb517042336801,0x3591579d3e2629b47a35f193e5bc027e73140b2f,220.0
35298,0x0f466e365cd1c5cc589fd23bb2486baafb8fb2042819f1c0a91bb38538cbfb81,0x12788951bb4d8efa049fb7c7d3e3421014bd0e5f,440.0
35298,0xf41f8b7666366dde520b1c3a849535c1806547580bd438de50056027d266b93a,0x0a407bbc69bf60b88add79724476db6bc667ae33,550.0
35298,0x1cc31e0bca51e5a7e8cfc9786938741f05000ff74c261541da6aecc1df37a5a6,0x27c8b672c9c98712ed997a63219f6de9db980f34,660.0
35298,0x054fbf6ae25d1bb8721a3acf09e9e3cc229eb007bb6986ec4f8be62bf65dce1c,0x846bca2ef1f92021b4092e1cd0cc5c00ae2b5257,27.5
35298,0x593950312762296cffd900c2e278b1550c210c1001d6f9a9a6b5397ffd6f77e2,0x420206564cbed96b95b780a553551f6e4218ceaf,110.0
35298,0x0ab47232e5f1c46e693bccd7da27a7269e82efd6071a949ec8a134ae16aa2c41,0xf1bd143ed6f0e6d8a847372eab8599e199ada0bd,110.0
35298,0xa7a327be95e94a0eabffad4e2f710bc7090e1578beabcb0d26fc4ad5a51cf836,0xaee6badbac09b756cb7291dfcd09fd93f0acae9e,605.0
35298,0x9610f57fa1ab4dac6b5ab77259dd18179ec23e26e5902a583f22cc7518f5935c,0xf81d97a95fe99f160aac8eceb3deb683845bae99,220.0
36122,0xe7e06eb216049582f1247bf6ce5954fb225ecbe1a7b8012822f2bdce5af2c60a,0xe54954da443e9079dbda676a31e23b46519b3619,220.0
36124,0x0b9fa7318e0b32ee49a603739ba762c095050948254f69945d686c5680903b15,0xa62229f33c950d73aa794500605276ec570dd123,55.0
36124,0xc02b16e82cf473cdb5be390bb04cf5e861e309472e406e5295aa54ec1eb9473b,0xc79c4751227a8f8258733b94f1033ba8658eb060,110.0
36124,0x5fde7e1e633751ded15740af7edecd4be8a8d7e680a6ba686b49fe7919a660c8,0xc56792b13e94cf949af99620dc37d3de2791c1e7,110.0
36124,0x516cf9a1c12d68957f982e8d663ee6c7ebc5778193d200ac09bdc096f51f44d5,0xbba4ff0cc2242fbebca3c2c20edea54b0c70d07f,27.5
36124,0x50d635f17dbdc16075684c1ecd19966a456cde194bde6ce2751acef8c9c7b388,0x51947a4273ea63f3ef00d9097b870ec82a18fcd6,27.5
36124,0xb790e02087e0c0535f783f2aee4d9ba1f800653009318f58a17569bb4631dad5,0x8a10c1906f1da22fa37b69a8058db04dbf403089,27.5
36124,0x337d8a96c8ffa68cf333bab657eb3e8845e1974c4b831be36dc8ab58ec9aec53,0x022e1ef1ccc3d99edcd0f12fefb07425d7f5a55e,1320.0
36124,0xc4ff3ab2adcd67dfea3ee1b9a7d3ba15e1157549df68ccca1b650e0e909859e8,0xfc85c376c95bd8e9ac3d7f25a5c51274dcb0114d,275.0
36124,0x128ae187a48281b88d2ef3237df9d9d80235526c925f4698cc80e676c0908158,0xdc7abcddfffa936a25ab6ffd2ca2911b5e16c8e8,220.0
36124,0x4494e8034551f39fc75bd73e41fe72d6714fb79b7cd61d0a3015d3a44a70aef1,0x99cb9b86eaf482e976090d1307390f20bf5ebb75,27.5
36126,0xfc39e231d4a0d7e765b96fbfb18d88ade9224431754533e7993e599cfbcce0d1,0x7f3a81bcdb63583a1157c8f0a2dd75b1375a090a,440.0
36126,0x3078fb2fafd44fd20280ae4aa6541e4cbfaa1e668b9c1f3b9a10c8b11f7d8f2a,0x9e829affbee38f2c72d221c73e5fbfa2e77eec87,27.5
36126,0x3af7554f456fa470cb3ea5e37d862c618f84c6ddf55e6938b554e879c5f87b0e,0xe65f1ccc3ba766a1436625a408e2358b7d3ec482,27.5
36126,0x35329c7a01feb7637c039eb2867aa52a2ec40d72d5db14816003d023e59ae4cc,0x83cf87c3bf5d746aeb5a09dca021605885ba75de,110.0
36126,0x9d33670a0784e851bd7c3231abd845f21953be21af811c21cc614fde8067aed2,0x22d1acab5b9b8664b71e67e1681faf60ed9a0a34,27.5
36126,0x529d4d40fa531c9196be62268540603f5111f70a2b9383291c45cb68f9ed6553,0xd3bd3a596ceee552d4e81fa9b6eb2eaf090d03b7,110.0
36126,0xce9e484742e13d7e8dff1f07716388125ceccdf89b05bd14f11d52eee9c80603,0xc51f799253d0d0cd26a07f4abe02b8f0d5757be9,330.0
36126,0xaa6e784995ec6d24ff81c6f775ba03592f31e2cb696f65a261965b90e6ca3388,0x812fc657ab0cde96056064dd77fa6985b869f9b0,110.0
36126,0x20c3981dbeb1e551e70f809cb6c36644e17b148238d947dbf8effc50b9d3da41,0xb849e2d1d3a1dd47c12e8fe1b0d2160b3003046b,110.0
36126,0x031ec0b56b7fea4871601e845f29c0269383725dc718b510f9e1ccc8cbff9da1,0x30a7b8e244ed8d5082af5ec9832626170810243b,137.5
36127,0x74cbb9c6d3abefbf19b8348fcd2f9fd1941d36d64d63778feee31504b946db6c,0x0521bf71414a7ab88fd2503100cae31b5e4a3467,220.0
36127,0x5d68baaa5ac78c1d7ad0f3593732fb7e7635c25cb1d72f3632f6ed41d444914a,0xde61922bad8bbfe35d6d2ab91755ede3668a0f69,55.0
36127,0x3ac32b62d10f15e092ae8ef672ac293b9e982a90ded43e33ebb6ae494c207674,0xd6c5472e80aa6fe3fe444921da3928ed25dd0b69,220.0
36127,0x63b2556d60047184784483c8ad405401e6055b2ddbc3e50cc21d9159d1f426e6,0x2d4e4a65c9f3978f00fe4ab5f0f9253731485253,110.0
36127,0xff23d7af306ce1dfa718e91d42a0280431c040f5a081e3a2f447ea8090ee2561,0xd2278026f56fe7116ec0014f0de2e2c3c1f37462,110.0
36127,0xa093c484dab3054bc01f3b2dd02f93033c64cda25dfb91f8991f940331ecddfa,0xbcc45ec911e19ddccb201f34f9d6d3cb91026e09,27.5
36127,0x9354468ee47cc4c0911f6ef365307d7dada12f632ab128e4686347806d0ef22c,0x4d1c24ef08eccaffc36a3357f480d0a2fcc663ca,55.0
36127,0x9e6c1688ac9a25f2d0f51fd5ce930a4bffd3fb84f960ce6d45d58b0051e10473,0xbf00ba56ab965ab4ecd2ec95b4dddb0c2b74c83b,27.5
36127,0xd04be85efaf0691adf4a0928dc4e041bb3a756afd968f3142e465feff5a37e7d,0x02b4693d1271904bc8a2b32d4a364363fd7c7ebf,110.0
36127,0x04d63ec05c815e878c3e62e58ff9231cfad4d5e1d68a3112b9bdc035c1c96626,0x70619d577548faa0e11c1feda79bd4347503715d,55.0
36128,0x8bd97e511704555ec1db4ba2918970fd6b9b27913d8c5714efe3dde9228046e8,0x44ea6c9b9b9e2ba4b47dce920fdbe06d2abf8e82,440.0
36128,0x503e99be1d3f376b4516d2b5f277bcc50aa8fbe824063ed5e4cc8a4b99dbfc89,0xf6137f40989ad2819f1250821dc12e5343e14512,220.0
36128,0x06580a1f954374889d6a1500a29dd9eddd18a610878cf4f3d7985934a59ad9b9,0x2c5e9b5409cbcdbb621e795f622067c6940634de,247.5
36128,0x332e2649616b3d6946ec7d02ee2f923ad9db3f311c9118630b8da6ca9d704d40,0xe387f3b88d14d7ec03d68f1654a9d0e6f9674620,27.5
36128,0xcc6a62b8aa4e1d3d6be412f3b3dfb100e74c074ed806ea014116c2419f516e5d,0x59a02e3c56b601455b19110d5c2366afcd7e510e,27.5
36128,0x99037ed2d85c2893eb6a8c82a77b7ab4cb8d0f7c10bea46b3f0c7dd911d14ad2,0x1eb4f5ae6e14f6376b7175656994f58cea565c0d,55.0
36128,0xd96a9c72d4a22a49d7435b264f9b08709838af932b74f430aaf1562de4a9c8e9,0x9f03b920254e87e698c81089bdc566ca3b393510,110.0
36128,0x7ebb3fb07a6a2e174360952c3de4c2e2a624ec166d733caeb15dc4690f92537b,0x9cfda9e7e43922ca9908dab70e0a2cde43794a2f,55.0
36128,0x9f9976043cde9b2a94aa379e54761643e39e3e81f81af7a6a0b1d34ef96ebb93,0x8ff0ebaed2c4707e2a57eda900e74192c254c640,27.5
36128,0x522b7df2e19416b36dd8473d1db0b06979651ef755793c8654512d8f5f503201,0x9c323352bd5f6b4c7496cc8f2ffe2068ce755273,27.5
36129,0xad17ea552417dbbebb393341f2d5ef3fe93fe7b0ce78a312355427b353f43529,0x00ab60e25d3e21d60c64e2b801113b747101b324,440.0
36130,0xfb406a510500ae1b024ade389cc3d3b52904186f97ddb359410c8738d2bd3e5d,0x6b1029c9ae8aa5eea9e045e8ba3c93d380d5bdda,990.0
36130,0x642bc758177e84cd0251153d880e310bc1726c7138cd45e5800ecc44745bc1dc,0xf3e17d32a4037830cba46ded7f99d4484cdbf987,27.5
36130,0x1f5431cf6dc5f07d41098bd041eab8abc2be625423239746885f5c07af569159,0xfda1fde90fed01706833a1dc5126c7186b7fb82d,1760.0
36130,0xeeaea9a6084305d57114d1973c0ddbf87c43acf294dfba1463c91a5edc1377c3,0x87aac25c030a66210a6f36e49be57e2ab0a3999e,110.0
36130,0xb22a4bcffc8391cb6a11bee829c2056b0a11de79007cc63e732aab9197985333,0xa328029889c1a2a8339a028fa549d07a5b2bb46d,27.5
36130,0x7417806bc25b549220417780bed0194eebef194e86e22cb57fec86b60742f38c,0xa3922500e294e30d46c63be5d568fdf46a381195,55.0
